respondent_id,S1_frequency,Q1_choc_chip,Q1_sugar,Q1_oatmeal_raisin,Q1_peanut_butter,Q1_snickerdoodle,Q1_shortbread,Q1_ginger_molasses,Q1_double_choc,Q1_white_choc_mac,Q1_other,Q1_none,Q2_favorite,Q3_flavor,Q3_texture,Q3_sweetness,Q3_ingredients,Q3_nostalgic,Q3_goes_with_drink,Q3_indulgent,Q3_simple_classic,Q3_other,Q4_texture,Q5_open,Age,Gender
1,Several times a week or more,1,0,0,1,0,0,0,0,0,0,0,Chocolate chip,1,1,1,1,0,1,1,0,,Soft and chewy,Warm chocolate chip cookie,18-24,Woman
2,About once a week,1,1,0,0,0,0,0,0,0,0,0,Chocolate chip,1,1,0,1,1,0,1,1,,Chewy with crisp edges,Chocolate chip from bakery,18-24,Man
3,2-3 times a month,0,1,0,0,0,1,0,0,0,0,0,Sugar,1,0,1,0,0,0,0,1,,Mostly crisp/crunchy,Sugar cookie with sprinkles,18-24,Woman
4,About once a month,1,0,1,0,0,0,0,0,0,0,0,Oatmeal raisin,1,1,0,1,1,0,0,0,,Soft and chewy,Chewy oatmeal raisin,18-24,Man
5,Several times a week or more,1,0,0,1,0,0,0,0,0,0,0,Peanut butter,1,1,1,1,0,0,1,0,,Very soft,Peanut butter cookie,18-24,Woman
6,Less often than once a month,0,1,0,0,0,0,0,0,0,0,0,Sugar,1,0,1,0,0,0,0,1,,Mostly crisp/crunchy,Simple sugar cookie,18-24,Man
7,About once a week,1,0,0,0,1,0,0,0,0,0,0,Snickerdoodle,1,1,0,0,1,0,0,1,,Soft and chewy,Cinnamon snickerdoodle,18-24,Woman
8,2-3 times a month,0,0,0,0,0,1,0,0,0,0,0,Shortbread,1,0,0,0,0,0,0,1,,Very crisp,Buttery shortbread,18-24,Man
9,About once a month,1,0,0,0,0,0,1,0,0,0,0,Ginger/molasses,1,1,0,1,1,0,0,0,,Chewy with crisp edges,Ginger molasses cookie,18-24,Woman
10,Several times a week or more,1,0,0,0,0,0,0,1,0,0,0,Double chocolate,1,1,1,1,0,0,1,0,,Soft and chewy,Double chocolate fudge,18-24,Man
11,About once a week,1,0,0,0,0,0,0,0,1,0,0,White chocolate macadamia,1,1,0,1,0,0,1,0,,Soft and chewy,White chocolate macadamia,25-34,Woman
12,2-3 times a month,0,1,0,0,0,0,0,0,0,1,0,Other classic,1,0,1,0,0,0,0,0,,Mostly crisp/crunchy,Linzer cookie,25-34,Man
13,About once a month,1,0,1,0,0,0,0,0,0,0,0,Oatmeal raisin,1,1,0,1,1,0,0,0,,Soft and chewy,Oatmeal raisin with walnuts,25-34,Woman
14,Less often than once a month,0,1,0,0,0,0,0,0,0,0,0,Sugar,1,0,1,0,0,0,0,1,,Mostly crisp/crunchy,Holiday sugar cookie,25-34,Man
15,Several times a week or more,1,0,0,1,0,0,0,0,0,0,0,Peanut butter,1,1,1,1,0,0,1,0,,Soft and chewy,Chunky peanut butter cookie,25-34,Woman
