ID,Severity,Phase,Finding,Location,Evidence,Impact,Recommended fix,Verification status
AUD-001,HIGH,Phase 3,"The dedicated Leaders page still exposes sale-oriented content and live structured data after registration was marked unavailable.","classes/leaders.html:40-220; classes/leaders.html:489-495; classes/leaders.html:604-629; classes/leaders.html:682-707","The page still has four live JSON-LD Course/Offer objects, a visible '$499 / class' hero, a live Leadership Cohort anchor, private Leadership-track sales copy, and FAQs describing individual-session pricing/capacity.","Direct visitors and search crawlers can still be told that Leaders products are active, contradicting the cohort-only decision and Phase 3 requirement.","Comment out the remaining hero/sales/team/FAQ copy or replace the page body with the unavailable message; remove or archive the live Leaders Course/Offer structured data while preserving recoverable source.","FIXED"
AUD-002,HIGH,Phase 3/8,"The homepage hero still advertises the paused individual-class products and prices.","index.html:244-254","Live stat labels say 'beginner classes - $129 each or $395 for all' and 'intermediate classes - $199 each or $995 for all'. These lines are outside the commented catalog block.","Visitors still receive an explicit individual-purchase message even though those products are not in the catalog.","Change the stats to cohort-only language such as '4-week Beginner cohort - $395' and '6-week Intermediate cohort - $995'.","FIXED"
AUD-003,MEDIUM,Phase 3/8,"The live classes page still describes individual-session capacity as part of the public offering.","classes.html:607-615","The over-capacity copy says '(9 for cohorts, 12 for individual sessions)' and refers to the 'public track'.","This creates stale expectations about a paused live format and weakens the cohort-only positioning.","Remove the individual-session reference and describe only cohort caps, or explicitly label any private team engagement as a separate inquiry-only service.","FIXED"
AUD-004,MEDIUM,Phase 3/8,"The homepage JSON-LD registration answer still tells crawlers to choose classes rather than a cohort.","index.html:170-171","The live JSON-LD answer says 'Browse the class catalog, choose your classes, and click Register', while the visible FAQ was changed to 'pick your cohort'.","Search/AEO output is inconsistent with the visible page and can imply individual checkout remains available.","Make the JSON-LD answer match the visible cohort-only wording.","FIXED"
AUD-005,MEDIUM,Phase 6,"The quiz does not preserve the original individual recommendation records verbatim.","quiz.html:467-476","The paused records were replaced with comments containing desc: '...' instead of their original descriptions.","This violates the preservation requirement and loses recoverable content from the quiz source, making restoration incomplete.","Restore the exact original records as line-commented JavaScript, or archive the exact records before keeping them commented out.","FIXED"
AUD-006,MEDIUM,Phase 6,"The active Beginner quiz record does not use the exact catalog product name.","quiz.html:455-458; class-checkout/netlify/functions/catalog.js:18","The quiz uses 'AI Beginners 4-Week Bundle'; the live catalog key is 'AI Beginners 4-Week Bundle (cohort)'.","Any future code that uses the quiz record name as a catalog key will fail closed; it also violates the plan's exact-name requirement.","Use 'AI Beginners 4-Week Bundle (cohort)' in the active quiz record.","FIXED"
AUD-007,MEDIUM,Phase 6,"The quiz fallback recommends only one cohort for ambiguous answers instead of showing both active cohorts.","quiz.html:570-585","When no trigger fires, fallbackTier/fallbackCohort selects Beginner for total <= 12 and Intermediate otherwise; it renders one card only.","Neutral or ambiguous users are not shown both cohort options as required by Phase 6, and the recommendation may be arbitrary.","Render both active cohort cards in the no-trigger fallback, or document and implement a non-ambiguous rule that satisfies the requirement.","FIXED"
AUD-008,HIGH,Phase 3/7/9,"Required restructure changes are uncommitted even though the decision log says all nine phases are committed.","git status; about.html; contact.html; tools.html; classes.html; newsletter.html; articles/* listed by git status; class-checkout/leaders.html","The worktree has 14 modified files. Most are the remaining Phase 3 nav/CTA changes; class-checkout/leaders.html contains the empty generated schedule blocks. None are included in the Phase 3 or Phase 7 commits.","A deployment or review based on HEAD alone will omit required changes, and the repository cannot reproduce the claimed shipped state.","Review the uncommitted changes, commit the intended Phase 3/7 files in a dedicated commit, then update the status only after the committed tree matches the audit.","FAIL"
AUD-009,LOW,Phase 7,"The schedule-entry archive has a .json extension but is not valid JSON.","content/classes-archive/schedule-entries-2026-07.json:1-3","The file begins with an HTML comment and YAML-style section headings, followed by multiple standalone JSON objects rather than one JSON document.","Archive consumers may reasonably expect a parseable JSON file and fail; the archive is less mechanically recoverable than intended.","Use a .txt/.md archive for the mixed format, or make it valid JSON with metadata and removedEntries arrays.","FIXED"
AUD-010,HIGH,Phase 9,"The required live/preview Stripe walkthrough is not evidenced by the repository audit.","classes-restructure-plan.md:431-437; git history/worktree","Static checks confirm two live catalog entries and valid JavaScript, but there is no evidence of a browser walkthrough or successful test-mode checkout for both cohorts.","The most important end-to-end purchase path remains unverified; date selection, Netlify routing, Stripe mode, and deployed environment behavior could still fail.","Run the owner walkthrough in the deployed preview/test environment for both cohort products and record the result, including the checkout session names/prices.","UNVERIFIED"
